Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
12Х18Н12М3ТЛ;до 0,12;0,2 - 1;1 - 2;16 - 19;11 - 13;5;0;0;3 - 4;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~61;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей, устойчивых при воздействии сернистой кипящей, фосфорной, муравьиной, уксусной и др. кислот, а также деталей, длительное время работающие под нагрузкой при температуре до 800 град.С; сталь аустенитного класса"
12Х18Н9ТЛ;до 0,12;0,2 - 1;1 - 2;17 - 20;8 - 11;до 0,6;0;0;0;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~68;Класс: Сталь для отливок с особыми свойствами;Использование в промышленности: различные детали машиностроения,  работающие при температуре не выше 700 °С. Сталь жаростойкая до 750 °С,  жаропрочная при температуре до 600 °С, аустенитного класса
12Х25Н5ТМФЛ;до 0,12;0,2 - 1;0,3 - 0,8;23,5 - 26;5 - 6,5;0,08 - 0,2;0;0;0,06 - 0,12;0;0,07 - 0,15;до 0,03;до 0,03;до 0,3;0;0;0;0;0,08 - 0,2;0;~67;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей, жаростойких при температуре до 600 град.С, а также деталей , работающих под давлением до 30 МПа; сталь аустенитно - ферритного класса"
130Г14ХМФАЛ;1,2 - 1,4;до 0,6;12,5 - 15;1 - 1,5;до 1;0;0;0;0,2 - 0,3;0;0,08 - 0,12;до 0,05;до 0,07;до 0,3;0;0;0;0;0,025 - 0,05;0;~81;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей с высоким сопротивлением износу при одновременном воздействии высоких давлений или ударных нагрузок, от которых требуется высокая износостойкость; сталь аустенитного класса"
14Х18Н4Г4Л;до 0,14;0,2 - 1;4 - 5;16 - 20;4 - 5;0;0;0;0;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~71;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: различные детали, работающие при температуре до 400 °С; сталь аустенитно - мартенситного класса"
15Х13Л;до 0,15;0,2 - 0,8;0,3 - 0,8;12 - 14;до 0,5;0;0;0;0;0;0;до 0,025;до 0,03;до 0,3;0;0;0;0;0;0;~84;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей с повышенной пластичностью, подвергающихся ударным нагрузкам и действию относительно слабых агрессивных сред (атмосферных осадков, влажного пара, водных растворов солей органических кислот при комнатной температуре); сталь мартенсито - ферритного класса"
15Х18Н22В6М2Л;0,1 - 0,2;0,2 - 0,6;0,3 - 0,6;16 - 18;20 - 24;0;0;5 - 7;2 - 3;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;46,225 - 56,4;Класс: Сталь для отливок с особыми свойствами;Использование в промышленности: для деталей, жаростойких при температуре до 1000 град.С, жаропрочных при температуре до 800 град.С (детали двигателей авиационной промышленности)
15Х18Н22В6М2РЛ;0,1 - 0,2;0,2 - 0,6;0,3 - 0,6;16 - 18;20 - 24;0;0;5 - 7;2 - 3;0;0;до 0,03;до 0,035;0;0;0;0;0;0;0;46,525 - 56,4;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: детали двигателей авиационной промышленности; сталь аустенитного класса"
15Х23Н18Л;0,1 - 0,2;0,2 - 1;1 - 2;22 - 25;17 - 20;0;0;0;0;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;51,44 - 59,7;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для коррозионно-стойких деталей, не трубующих высокой механической прочности, жаропрочных до 900 град.С; сталь аустенитного класса"
15Х25ТЛ;0,1 - 0,2;0,5 - 1,2;0,5 - 0,8;23 - 27;до 0,5;0,4 - 0,8;0;0;0;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~71;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей, жаростойких при температуре до град.С, не подвергающихся действию постоянных и переменных нагрузок; сталь ферритного класса"
16Х18Н12С4ТЮЛ;0,13 - 0,19;3,8 - 4,5;0,5 - 1;17 - 19;11 - 13;0,4 - 0,7;0,13 - 0,35;0;0;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~63;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для сварных изделий, работающих в агрессивных средах, в частности концентрированной азотной кислоте при температуре до 105 град.С.; сталь аустенитно - ферритного класса"
18Х25Н19СЛ;до 0,18;0,8 - 2;0,7 - 1,5;22 - 26;17 - 21;до 0,2;0;до 0,4;до 0,2;0;до 0,2;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;47,955 - 59,5;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для коррозионно-стойких, кислотоупорных и жаростойких деталей; сталь аустенитного класса"
20Х12ВНМФЛ;0,17 - 0,23;0,2 - 0,6;0,5 - 0,9;10,5 - 12,5;0,5 - 0,9;0;0;0,7 - 1,1;0,5 - 0,7;0;0,15 - 0,3;до 0,025;до 0,03;до 0,3;0;0;0;0;0;0;~84;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей коррозионно-стойких, жаропрочных до 650 град.С (литые детали турбин); сталь мартенситного класса"
20Х13Л;0,16 - 0,25;0,2 - 0,8;0,3 - 0,8;12 - 14;до 0,5;0;0;0;0;0;0;до 0,025;до 0,03;до 0,3;0;0;0;0;0;0;~84;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: детали, подвергающиеся ударным  нагрузкам, а также изделия, подвергающиеся действию относительно слабых  агрессивных сред; сталь мартенситного класса"
